code_commune,nom_commune,total_travailleurs_entrants
78165,Les Clayes-sous-Bois,4096
77291,Le Mesnil-Amelot,4066
78168,Coignières,4038
78650,Le Vésinet,4029
91479,Paray-Vieille-Poste,4024
78362,Mantes-la-Ville,3997
78124,Carrières-sur-Seine,3945
77384,Réau,3944
93079,Villetaneuse,3906
78322,Jouy-en-Josas,3884
95598,Soisy-sous-Montmorency,3883
93061,Le Pré-Saint-Gervais,3868
95424,Montigny-lès-Cormeilles,3762
77438,Saint-Thibault-des-Vignes,3742
91386,Mennecy,3709
95199,Domont,3691
77014,Avon,3647
78688,Voisins-le-Bretonneux,3644
77121,Collégien,3638
91363,Marcoussis,3614
91425,Montlhéry,3588
78356,Magny-les-Hameaux,3582
78686,Viroflay,3545
78372,Marly-le-Roi,3544
92022,Chaville,3542
95313,L'Isle-Adam,3511
78126,La Celle-Saint-Cloud,3507
78133,Chambourcy,3474
95555,Saint-Gratien,3472
95197,Deuil-la-Barre,3459
78481,Le Pecq,3402
78190,Croissy-sur-Seine,3388
78545,Saint-Cyr-l'École,3316
91645,Verrières-le-Buisson,3266
77067,Cesson,3245
77316,Moret-Loing-et-Orvanne,3214
95051,Beauchamp,3159
77285,Le Mée-sur-Seine,3114
91458,Nozay,3110
95539,Saint-Brice-sous-Forêt,3106
77470,Tournan-en-Brie,3074
77495,Vert-Saint-Denis,3073
95563,Saint-Leu-la-Forêt,3047
77181,Ferrières-en-Brie,3035
91434,Morsang-sur-Orge,3025
93030,Dugny,2956
91573,Saint-Pierre-du-Perray,2921
95351,Louvres,2912
78118,Buchelay,2906
94059,Le Plessis-Trévise,2892
77018,Bailly-Romainvilliers,2889
95323,Jouy-le-Moutier,2887
95488,Pierrelaye,2845
77215,Gretz-Armainvilliers,2822
95487,Persan,2784
91659,Villabé,2765
78466,Orgeval,2701
77407,Saint-Fargeau-Ponthierry,2641
78642,Verneuil-sur-Seine,2610
91494,Le Plessis-Pâté,2593
78401,Meulan-en-Yvelines,2563
92076,Vaucresson,2561
78138,Chanteloup-les-Vignes,2561
77327,Nangis,2548
91115,Bruyères-le-Châtel,2530
94060,La Queue-en-Brie,2522
77132,Coupvray,2507
95052,Beaumont-sur-Oise,2476
91338,Limours,2454
77183,La Ferté-sous-Jouarre,2452
77237,Jossigny,2398
95019,Arnouville,2373
78575,Saint-Rémy-lès-Chevreuse,2338
77479,Vaires-sur-Marne,2326
78238,Flins-sur-Seine,2307
91330,Lardy,2275
78644,La Verrière,2268
91514,Quincy-sous-Sénart,2247
94055,Ormesson-sur-Marne,2225
77450,Servon,2197
78217,Épône,2190
91191,Crosne,2186
78350,Louveciennes,2176
91064,Bièvres,2156
77153,Dammartin-en-Goële,2116
77192,Fontenay-Trésigny,2098
91179,Le Coudray-Montceaux,2081
95427,Montmagny,1999
91405,Milly-la-Forêt,1982
95394,Méry-sur-Oise,1978
91552,Saint-Germain-lès-Arpajon,1974
77276,Mareuil-lès-Meaux,1970
91312,Igny,1949
91617,Tigery,1941
93074,Vaujours,1928
77268,Magny-le-Hongre,1922
95637,Vauréal,1905
78015,Andrésy,1886
94075,Villecresnes,1883
78242,Fontenay-le-Fleury,1858
91216,Épinay-sur-Orge,1854
78486,Le Perray-en-Yvelines,1844
93039,L'Île-Saint-Denis,1828
91665,La Ville-du-Bois,1817
95371,Marly-la-Ville,1806
77085,Chanteloup-en-Brie,1789
95211,Ennery,1782
78206,Ecquevilly,1750
91044,Ballainvilliers,1744
92077,Ville-d'Avray,1738
91666,Villejust,1709
91587,Saulx-les-Chartreux,1698
78624,Triel-sur-Seine,1677
77431,Saint-Pierre-lès-Nemours,1663
78643,Vernouillet,1659
91347,Longpont-sur-Orge,1621
77464,Thorigny-sur-Marne,1618
91461,Ollainville,1604
78267,Gargenville,1604
95612,Le Thillay,1596
78354,Magnanville,1595
78160,Chevreuse,1583
95288,Groslay,1581
91136,Champlan,1574
91339,Linas,1562
91122,Bures-sur-Yvette,1557
77317,Mormant,1550
77394,Rubelles,1547
78674,Villepreux,1539
77330,Nanteuil-lès-Meaux,1527
78502,Le Port-Marly,1514
91215,Épinay-sous-Sénart,1500
77182,La Ferté-Gaucher,1471
95205,Écouen,1469
95355,Magny-en-Vexin,1444
78380,Maule,1443
78683,Villiers-Saint-Frédéric,1433
91226,Étréchy,1428
91600,Soisy-sur-Seine,1424
78455,Noisy-le-Roi,1422
77037,Bois-le-Roi,1411
95250,Fosses,1408
94070,Santeny,1391
77482,Varennes-sur-Seine,1389
95229,Ézanville,1389
91105,Breuillet,1376
77322,Moussy-le-Neuf,1368
95450,Neuville-sur-Oise,1362
77306,Montereau-sur-le-Jard,1335
78092,Bougival,1333
94047,Mandres-les-Roses,1330
95491,Le Plessis-Bouchard,1327
77123,Compans,1325
93033,Gournay-sur-Marne,1311
77100,Le Châtelet-en-Brie,1287
91207,Égly,1285
95088,Bonneuil-en-France,1278
91376,Marolles-en-Hurepoix,1271
77142,Crécy-la-Chapelle,1262
91045,Ballancourt-sur-Essonne,1240
91553,Saint-Germain-lès-Corbeil,1236
78220,Les Essarts-le-Roi,1234
77382,Quincy-Voisins,1228
77437,Saint-Soupplets,1224
91097,Boussy-Saint-Antoine,1209
78531,Rosny-sur-Seine,1193
78397,Le Mesnil-Saint-Denis,1191
78321,Jouars-Pontchartrain,1171
91648,Vert-le-Grand,1166
91111,Briis-sous-Forges,1166
91135,Champcueil,1160
77127,Coubert,1159
77104,Châtres,1153
94048,Marolles-en-Brie,1149
78396,Le Mesnil-le-Roi,1144
78062,Beynes,1111
78043,Bailly,1109
78672,Villennes-sur-Seine,1101
91315,Itteville,1092
78310,Houdan,1081
77249,Lésigny,1079
95370,Marines,1069
95091,Bouffémont,1067
77389,La Rochette,1040
77139,Courtry,1039
95580,Saint-Witz,1036
77171,Esbly,1032
78089,Bonnières-sur-Seine,1024
77079,Champagne-sur-Seine,1018
95014,Andilly,1008
77059,Bussy-Saint-Martin,1005
95604,Survilliers,1005
95430,Montsoult,996
95574,Saint-Prix,995
77513,Villenoy,994
78420,Montfort-l'Amaury,988
95060,Bessancourt,984
77335,Chauconin-Neufmontiers,983
78537,Saint-Arnoult-en-Yvelines,973
78571,Saint-Nom-la-Bretèche,962
78501,Porcheville,948
77420,Saint-Mard,937
77393,Rozay-en-Brie,935
77114,Chevry-Cossigny,931
77180,Férolles-Attilly,930
77051,Bray-sur-Seine,926
78513,La Queue-les-Yvelines,921
91538,Saint-Aubin,920
95409,Moisselles,890
95388,Menucourt,887
91667,Villemoisson-sur-Orge,887
77257,Lizy-sur-Ourcq,877
95256,Frépillon,868
91631,Varennes-Jarcy,854
92047,Marnes-la-Coquette,849
91685,Villiers-sur-Orge,847
77475,Trilport,847
77055,Brou-sur-Chantereine,847
91457,La Norville,836
78615,Thiverval-Grignon,829
77320,Mouroux,827
77040,Boissise-le-Roi,826
93015,Coubron,825
91041,Avrainville,823
78389,Méré,815
77061,Cannes-Écluse,814
95078,Boissy-l'Aillerie,812
95652,Viarmes,811
95510,Puiseux-Pontoise,810
91433,Morigny-Champigny,810
91540,Saint-Chéron,810
95369,Margency,810
77518,Villiers-en-Bière,808
91649,Vert-le-Petit,802
77493,Verneuil-l'Étang,783
95039,Auvers-sur-Oise,782
77458,Souppes-sur-Loing,781
91129,Cerny,772
77369,Poincy,761
77517,Villevaudé,761
77238,Jouarre,752
78143,Châteaufort,749
95183,Courdimanche,747
77222,Guignes,745
95352,Luzarches,740
77533,Vulaines-sur-Seine,735
91232,La Ferté-Alais,725
77385,Rebais,721
77442,Samoreau,721
78255,Freneuse,719
91109,Brières-les-Scellés,709
91016,Angerville,709
78291,Guerville,706
77349,Othis,703
95480,Parmain,695
95641,Vémars,693
78233,Feucherolles,682
91390,Le Mérévillois,682
78367,Mareil-Marly,667
91468,Ormoy,665
94053,Noiseau,664
95392,Mériel,663
77378,Pringy,658
78343,Les Loges-en-Josas,657
78003,Ablis,644
78299,Hardricourt,639
95116,Bruyères-sur-Oise,634
95426,Montlignon,627
77005,Annet-sur-Marne,627
91085,Boissy-sous-Saint-Yon,617
91577,Saintry-sur-Seine,615
77128,Couilly-Pont-aux-Dames,613
77211,Grandpuits-Bailly-Carrois,607
77279,Marolles-sur-Seine,607
78638,Vaux-sur-Seine,606
95134,Champagne-sur-Oise,598
77143,Crégy-lès-Meaux,591
77099,Château-Landon,587
78382,Maurecourt,586
77107,Chaumes-en-Brie,581
91225,Étiolles,578
78224,L'Étang-la-Ville,576
77088,La Chapelle-la-Reine,573
77048,Bourron-Marlotte,573
78431,Morainvilliers,571
77176,Faremoutiers,565
77096,Chartrettes,562
77315,Montry,560
77413,Saint-Germain-sur-Morin,558
77312,Montigny-sur-Loing,555
78402,Mézières-sur-Seine,552
77159,Donnemarie-Dontilly,551
77463,Thomery,549
94001,Ablon-sur-Seine,545
91275,Gometz-le-Châtel,544
77326,Nandy,536
77229,La Houssaye-en-Brie,529
77069,Chailly-en-Bière,528
95658,Vigny,527
91243,Fontenay-lès-Briis,521
77377,Presles-en-Brie,520
78442,Neauphle-le-Château,518
91292,Guibeville,516
77455,Soignolles-en-Brie,515
95257,La Frette-sur-Seine,512
95058,Bernes-sur-Oise,511
78269,Gazeran,509
78090,Bouafle,507
91359,Maisse,507
77252,Limoges-Fourches,497
95504,Presles,494
78465,Orgerus,494
77336,Neufmoutiers-en-Brie,488
77016,Bagneaux-sur-Loing,487
77441,Samois-sur-Seine,485
78591,Septeuil,479
77494,Vernou-la-Celle-sur-Seine,478
77217,Grisy-Suisnes,472
91249,Forges-les-Bains,463
78120,Bullion,461
91333,Leuville-sur-Orge,460
78164,Clairefontaine-en-Yvelines,460
78620,Toussus-le-Noble,448
78152,Chavenay,444
77372,Pomponne,437
95509,Puiseux-en-France,436
77175,Évry-Grégy-sur-Yerre,434
78048,Bazainville,427
91159,Chevannes,426
95042,Baillet-en-France,425
78616,Thoiry,425
77430,Saint-Pathus,424
91156,Cheptainville,417
77419,Saint-Mammès,413
77210,La Grande-Paroisse,408
94056,Périgny,406
77323,Moussy-le-Vieux,405
77374,Pontcarré,396
78087,Bonnelles,393
77359,Perthes,388
77095,Charny,382
78314,Issou,381
78327,Juziers,379
78010,Les Alluets-le-Roi,377
77042,Boissy-le-Châtel,375
95675,Villeron,374
77368,Poigny,373
77508,Villeneuve-le-Comte,371
77363,Le Pin,370
78030,Auffargis,364
91095,Bouray-sur-Juine,363
77226,Héricy,361
95026,Asnières-sur-Oise,359
78263,Gambais,357
77022,Barbizon,355
77329,Nanteau-sur-Lunain,354
77511,Villeneuve-sous-Dammartin,352
77459,Sourdun,351
77280,Mary-sur-Marne,348
77448,Sept-Sorts,348
78403,Mézy-sur-Seine,347
91579,Saint-Vrain,347
95149,Chaumontel,346
78189,Crespières,345
91411,Les Molières,343
77477,Ury,339
77224,Hautefeuille,330
77371,Pommeuse,329
77168,Égreville,327
77259,Longperrier,324
91533,Saclas,324
77447,Seine-Port,322
91099,Boutigny-sur-Essonne,322
91511,Pussay,320
77309,Monthyon,319
95566,Saint-Martin-du-Tertre,318
91274,Gometz-la-Ville,317
78107,Bréval,317
95056,Belloy-en-France,314
77156,Darvault,306
95241,Fontenay-en-Parisis,301
95446,Nesles-la-Vallée,300
77126,Congis-sur-Thérouanne,299
78601,Sonchamp,293
78550,Saint-Germain-de-la-Grange,292
78265,Garancières,292
77344,Oissery,291
77534,Yèbles,290
77219,Guérard,290
77155,Dampmart,290
77070,Chailly-en-Brie,284
91204,Écharcon,283
77277,Marles-en-Brie,281
77109,Chenoise-Cucharmoy,280
77261,Lorrez-le-Bocage-Préaux,279
91318,Janville-sur-Juine,279
77241,Juilly,273
77260,Longueville,273
77528,Voisenon,272
95008,Aincourt,271
91038,Auvers-Saint-Georges,270
77409,Saint-Germain-Laval,270
78368,Mareil-sur-Mauldre,268
77116,Choisy-en-Brie,267
78227,Évecquemont,265
78520,Richebourg,264
78381,Maulette,262
91080,Boissy-le-Cutté,260
77002,Amillis,260
91679,Villiers-le-Bâcle,257
78398,Les Mesnuls,257
77510,Villeneuve-Saint-Denis,256
77269,Maincy,255
77124,Conches-sur-Gondoire,254
77453,Sivry-Courtry,252
77339,Noisy-sur-École,251
95459,Nucourt,250
78077,La Boissière-École,246
91599,Soisy-sur-École,244
95142,Chars,243
77531,Voulx,243
77039,Boissise-la-Bertrand,240
95489,Piscop,239
77065,Cély,239
